ETC_20150323_009652	#今結界を発動します。
ETC_20150918_014259	#王陵を破壊しようとするベアカラスを阻止してください
ETC_20150918_014260	#開発者
ETC_20150918_014261	#TOS開発チーム
ETC_20150918_014262	#反重力魔方陣の祝福
ETC_20150918_014263	#このモンスターは堤れました！
ETC_20150918_014264	#フレア発見
ETC_20150918_014265	#このモンスターは信号弾を発見しました
ETC_20150918_014266	#DPエクスプロージョン
ETC_20150918_014267	#祝福された修正のDPにやられました！
ETC_20150918_014268	#精神支配
ETC_20150918_014269	#マ君主ハウバックに精神支配を受けています
ETC_20150918_014270	#聖水の効果
ETC_20150918_014271	#聖水の効果でパイオロードのHPが10%削られたままに気づいた。
ETC_20150918_014272	#ドラフェリー運がノックアウトされました！
ETC_20150918_014273	#生気強奪
ETC_20150918_014274	#この魔族は魔力が宿った骨に生命力を吸収されています！
ETC_20150918_014275	#キャッチ経験値大当たり
ETC_20150918_014276	#{img F6 40 40}キーパーティー情報ウィンドウを表示することができます。{nl} {nl}所属するパーティーがない場合の下部のパーティーを作成ボタンを押すと、パーティーを作成することができます。
ETC_20150918_014277	#構成では、パーティー名説明を設定することができ、現在のパーティー中のパーティーメンバーの情報を示しています。{nl} {nl}パーティーに招待タグの挿入をクリックすると、パーティーに招待タグをチャットウィンドウに出力することができます。
ETC_20150918_014279	#設定では、アイテム、経験値分配ルールなどのパーティーの設定とパーティーマッチングのためのオプションであるパーティー募集設定を行うことができます。
ETC_20150918_014280	#パーティーインターフェースの右側には、オープンハウスのリストと推薦選手のリストを表示することができます。
ETC_20150918_014281	#パーティー募集設定で設定した情報を基に公開パーティーリストと推薦プレイヤーが更新されます。
ETC_20150918_014283	#{nl} {nl}分譲を受けたコンパニオンを見て{img space 40 40}キーを入力するか、{img alt 40 40} +ショートカットキーを使用すると、コンパニオンとの相互作用をすることができます。
ETC_20150918_014284	#コンパニオン搭乗は、いくつかのクラスのみを使用することができます。
ETC_20150918_014285	#もしコンパニオン搭乗が可能なクラスであれば、コンパニオンに搭乗したまま戦闘を繰り広げることができます。
ETC_20150918_014286	#センチュリオン - フォーメーション内の位置の移動
ETC_20150918_014287	#センチュリオンクラスは、フォーメーションを使って戦闘を指揮するクラスです。
ETC_20150918_014288	#センチュリオンは、そのスキルを使用して、一緒にチームのメンバーをもたらすの形成を作成することができます。
ETC_20150918_014290	#{nl} {nl} NumPadキーを活用すれば、招集された部隊員のフォーメーション内の位置を移動させることができます。
ETC_20150918_014291	#{img key1 40 40}キーを押した後、{img key9 40 40}キーを押すと、フォーメーション1回のキャラクターがフォーメーション9番に移動します。
ETC_20150918_014292	#{nl} {nl}センチュリオンは部隊員の位置を移動させて、状況に応じて様々な陣形を使用するなど、仲間を指揮して戦闘を着ています。
ETC_20150918_014293	#シャウルレイミッション
ETC_20150918_014294	#ゲルリ高原ミッション
ETC_20150918_014295	#峡谷地帯デバイスのサイズ
ETC_20150918_014296	#フェディミアン倉庫番(仮)
ETC_20150918_014297	#演出用蔦
ETC_20150918_014298	#インスタンスダンジョン入場NPC
ETC_20150918_014299	#トラップ条件
ETC_20150918_014300	#フクロウ像に行くように魂を説得
ETC_20150918_014301	#試験用の餌を使用してモンスター退治
ETC_20150918_014302	#サウはのポケットを遅れ行方不明の手がかりになるようなことを見つける
ETC_20150918_014304	#行方不明の兵士
ETC_20150918_014309	#歯なければ歯茎に
ETC_20150918_014311	#キャンプの保護
ETC_20150918_014312	#寒波をしのぐ方法
ETC_20150918_014313	#炎の創作者
ETC_20150918_014314	#軍事郵便
ETC_20150918_014315	#パンがなければ肉を
ETC_20150918_014316	#切実な食料需給
ETC_20150918_014318	#熱を下げる方法
ETC_20150918_014319	#幽玄な組み合わせの世界
ETC_20150918_014320	#野獣の邸宅
ETC_20150918_014322	#邪念席埋める
ETC_20150918_014323	#兄弟であった者
ETC_20150918_014325	#カーライルの試験(1)
ETC_20150918_014326	#カーライルの試験(2)
ETC_20150918_014327	#やつらに渡すのなら
ETC_20150918_014329	#魂の過去(1)
ETC_20150918_014331	#魂の過去(2)
ETC_20150918_014332	#魂の過去(3)
ETC_20150918_014334	#魂の過去の(4)
ETC_20150918_014336	#魂の過去(5)
ETC_20150918_014341	#修理部品
ETC_20150918_014342	#装置の修理に必要な部品を検索
ETC_20150918_014343	#比(1)
ETC_20150918_014345	#比(2)
ETC_20150918_014347	#エミーネントの正体
ETC_20150918_014349	#歴史に残る悪鬼
ETC_20150918_014350	#反逆者の日誌
ETC_20150918_014351	#ライトプレートセット
ETC_20150918_014352	#広域攻撃の割合{img green_up_arrow 16 16} 1増加
ETC_20150918_014353	#防御力{img green_up_arrow 16 16} 6増加
ETC_20150918_014354	#暗黒属性の攻撃力{img green_up_arrow 16 16} 30増加
ETC_20150918_014355	#移動速度{img green_up_arrow 16 16} 5増加
ETC_20150918_014356	#火属性抵抗力{img green_up_arrow 16 16} 15増加
ETC_20150918_014358	#HP回復{img green_up_arrow 16 16} 16
ETC_20150918_014359	#すべてのステータス{img green_up_arrow 16 16} 1
ETC_20150918_014360	#地属性追加ダメージ{img green_up_arrow 16 16} 12
ETC_20150918_014361	#火属性抵抗力{img green_up_arrow 16 16} 16
ETC_20150918_014362	#悪魔型対象の攻撃力{img green_up_arrow 16 16} 6
ETC_20150918_014363	#悪魔型対象の攻撃力{img green_up_arrow 16 16} 8
ETC_20150918_014364	#基本攻撃時1%の確率で30秒間、悪魔型対象の攻撃力{img green_up_arrow 16 16} 157
ETC_20150918_014365	#すべてのステータス{img green_up_arrow 16 16} 3
ETC_20150918_014366	#体力ステータス{img green_up_arrow 16 16} 5
ETC_20150918_014367	#スタミナ{img green_up_arrow 16 16} 10
ETC_20150918_014368	#闇属性抵抗力{img green_up_arrow 16 16} 10
ETC_20150918_014369	#精神{img green_up_arrow 16 16} 6
ETC_20150918_014373	#私のキャラを除くblowSound volume
ETC_20150918_014374	#元ランク制限
ETC_20150918_014377	#ねえ！助けて！
ETC_20150918_014378	local buf = GetBuffByName(self, "BrambleRage");  local over = GetOver(buf);  return over + 1 .. " times summoning is starting.";
ETC_20150918_014379	#製造書 - 恵山片付けソード
ETC_20150918_014380	#製造書 - クラッグソード
ETC_20150918_014381	#製造書 - ピルグリムソード
ETC_20150918_014382	#製造書 - ストラソード
ETC_20150918_014383	#製造書 - 恵山片付けツーハンドソード
ETC_20150918_014384	#製造書 - クラッグツーハンドソード
ETC_20150918_014385	#製造書 - ピルグリムツーハンドソード
ETC_20150918_014386	#製造書 - ステトラツーハンドソード
ETC_20150918_014387	#製造書 - 恵山片付けロード
ETC_20150918_014388	#製造書 - クラッグロード
ETC_20150918_014389	#製造書 - ピルグリムロード
ETC_20150918_014390	#製造書 - ステトラロード
ETC_20150918_014391	#製造書 - 恵山片付けスタッフ
ETC_20150918_014392	#製造書 - クラッグスタッフ
ETC_20150918_014393	#製造書 - ピルグリムスタッフ
ETC_20150918_014394	#製造書 - ストラスタッフ
ETC_20150918_014395	#製造書 - 恵山片付けボウ
ETC_20150918_014396	#製造書 - クラッグボウ
ETC_20150918_014397	#製造書 - ピルグリムボウ
ETC_20150918_014398	#製造書 - ストラボウ
ETC_20150918_014399	#製造書 - 恵山片付けクロスボウ
ETC_20150918_014400	#製造書 - クラッグクロスボウ
ETC_20150918_014401	#製造書 - ピルグリムクロスボウ
ETC_20150918_014402	#製造書 - ストラクロスボウ
ETC_20150918_014403	#製造書 - カラチャクロスボウ
ETC_20150918_014404	#製造書 - 恵山片付けメイス
ETC_20150918_014405	#製造書 - クラッグメイス
ETC_20150918_014406	#製造書 - ピルグリムメイス
ETC_20150918_014407	#製造書 - ストラメイス
ETC_20150918_014408	#製造書 - 恵山片付けスピア
ETC_20150918_014409	#製造書 - クラッグスピア
ETC_20150918_014410	#製造書 - ピルグリムスピア
ETC_20150918_014411	#製造書 - ストラスピア
ETC_20150918_014412	#製造書 - 恵山片付けパイク
ETC_20150918_014413	#製造書 - クラッグパイク
ETC_20150918_014414	#製造書 - ピルグリムパイク
ETC_20150918_014415	#製造書 - ストラパイク
ETC_20150918_014416	#製造書 - マナマナ
ETC_20150918_014417	#製造書 - ストラリボルバー
ETC_20150918_014418	#製造書 - アレルルノーグローブ
ETC_20150918_014419	#製造書 - アレルルノーブーツ
ETC_20150918_014420	#製造書 - アレルルノーパンツ
ETC_20150918_014421	#製造書 - アレルルノーローブ
ETC_20150918_014422	#製造書 - アレルルノーレザーグローブ
ETC_20150918_014423	#製造書 - アレルルノーレザーブーツ
ETC_20150918_014424	#製造書 - アレルルノーレザーパンツ
ETC_20150918_014425	#製造書 - アレルルノーレザーチュニック
ETC_20150918_014426	#製造書 - アレルルノープレートガントレット
ETC_20150918_014427	#製造書 - アレルルノープレートグリ
ETC_20150918_014428	#製造書 - アレルルノープレートレギンス
ETC_20150918_014429	#製造書 - アレルルノープレートアーマー
ETC_20150918_014430	#製造書 - ファレルリングローブ
ETC_20150918_014431	#製造書 - ファレルリンブーツ
ETC_20150918_014432	#製造書 - ファレルリンパンツ
ETC_20150918_014433	#製造書 - ファレルリングローブ
ETC_20150918_014434	#製造書 - ファレルリンレザーグローブ
ETC_20150918_014435	#製造書 - ファレルリンレザーブーツ
ETC_20150918_014436	#製造書 - ファレルリンレザーパンツ
ETC_20150918_014437	#製造書 - ファレルリンレザーチュニック
ETC_20150918_014438	#製造書 - ファレルリンプレートガントレット
ETC_20150918_014439	#製造書 - ファレルリンプレートグリ
ETC_20150918_014440	#製造書 - ファレルリンプレートレギンス
ETC_20150918_014441	#製造書 - ファレルリンプレートアーマー
ETC_20150918_014442	#製造書 - ターングローブ
ETC_20150918_014443	#製造書 - ターンブーツ
ETC_20150918_014444	#製造書 - ターンパンツ
ETC_20150918_014445	#製造書 - ターンローブ
ETC_20150918_014446	#製造書 - ターンレザーグローブ
ETC_20150918_014447	#製造書 - ターンレザーブーツ
ETC_20150918_014448	#製造書 - ターンレザーパンツ
ETC_20150918_014449	#製造書 - ターンレザーチュニック
ETC_20150918_014450	#製造書 - ターンプレートガントレット
ETC_20150918_014451	#製造書 - ターンプレートグリ
ETC_20150918_014452	#製造書 - ターンプレートレギンス
ETC_20150918_014453	#製造書 - ターンプレートアーマー
ETC_20150918_014454	#製造書 - シャトゥングローブ
ETC_20150918_014455	#製造書 - シャトゥンブーツ
ETC_20150918_014456	#製造書 - シャトゥンパンツ
ETC_20150918_014457	#製造書 - シャトゥンローブ
ETC_20150918_014458	#製造書 - シャトゥンレザーグローブ
ETC_20150918_014459	#製造書 - シャトゥンレザーブーツ
ETC_20150918_014460	#製造書 - シャトゥンレザーパンツ
ETC_20150918_014461	#製造書 - シャトゥンレザーチュニック
ETC_20150918_014462	#製造書 - シャトゥンプレートガントレット
ETC_20150918_014463	#製造書 - シャトゥンプレートグリ
ETC_20150918_014464	#製造書 - シャトゥンプレートレギンス
ETC_20150918_014465	#製造書 - シャトゥンプレートアーマー
ETC_20150918_014466	#製造書 - ティラグローブ
ETC_20150918_014467	#製造書 - ティラブーツ
ETC_20150918_014468	#製造書 - ティラパンツ
ETC_20150918_014469	#製造書 - ティラローブ
ETC_20150918_014470	#製造書 - ティラレザーグローブ
ETC_20150918_014471	#製造書 - ティラレザーブーツ
ETC_20150918_014472	#製造書 - ティラレザーパンツ
ETC_20150918_014473	#製造書 - ティラレザーチュニック
ETC_20150918_014474	#製造書 - ティラプレートガントレット
ETC_20150918_014475	#製造書 - ティラプレートグリ
ETC_20150918_014476	#製造書 - ティラプレートレギンス
ETC_20150918_014477	#製造書 - ティラプレートアーマー
ETC_20150918_014478	#製造書 - カラチャダガー
ETC_20150918_014479	#製造書 - ベノム
ETC_20150918_014480	#1つのベースキャンプのみ建設可能です。既存のものを消して新たに作成しますか？
ETC_20150918_014481	#開始都市を選択してください。
ETC_20150918_014482	#様の機器を手入れしました
ETC_20150918_014483	#様の機器を修理しました
ETC_20150918_014484	#大聖堂
ETC_20150918_014485	#モンスターが爆発しようとし！
ETC_20150918_014486	#イスィプラシュ広場の食糧の山から食べ物のかすをもっと持って来てください！
ETC_20150918_014487	#修正の核が異常反応を起こしながらロモルに変わりました！
ETC_20150918_014488	#変形された本物の木のルーツ修正を見つけて破壊した！
ETC_20150918_014489	#偽の木の根元修正のために気絶しました！
ETC_20150918_014490	#偽の木の根元修正のために眠ってしまいました！
ETC_20150918_014491	#偽の木の根元修正のための移動速度が低下しました！
ETC_20150918_014492	#偽の木の根元修正のために凍結ちゃいました！
ETC_20150918_014493	#あいつが俺を裏切った！
ETC_20150918_014494	#落ち葉の山を精練中
ETC_20150918_014495	#魂が攻撃し！
ETC_20150918_014496	#モンスターに閉じ込められていた巡礼者の魂が出てきた！{nl}巡礼者の魂を解放しましょう！
ETC_20150918_014497	#モンスターを誘引して攻撃した後、魂を取り除くします！
ETC_20150918_014498	#束縛された魂を癒すには花が必要になります
ETC_20150918_014499	#巡礼者の魂が木の根元修正を攻撃します！
ETC_20150918_014500	#ボックスを開くことができるよう前方に移動します
ETC_20150918_014502	#このような私の女神に行くことができますか？
ETC_20150918_014503	#癒してくれてありがとう。
ETC_20150918_014504	#つぐみ！一掃よ！
ETC_20150918_014505	#許さない！絶対に許さない！
ETC_20150918_014506	#このようなことで私を救うことができると思う？
ETC_20150918_014507	#捧げ祝福を受ける
ETC_20150918_014508	#捧げない
ETC_20150918_014509	#スターウールリツイート心を持っていません
ETC_20150918_014510	#スターウールリツイート心臓を捧げれば、いつでも祝福を受けることができます
ETC_20150918_014511	#試験に失敗しました
ETC_20150918_014513	#魔族召喚された破壊に成功しました！
ETC_20150918_014514	#魔力精製所が破壊されました！
ETC_20150918_014515	#浄化の祭壇を守る失敗しました！
ETC_20150918_014516	#濁りのオーラを浄化することに成功しました！
ETC_20150918_014517	#王陵石灯を保護するのに失敗しました！
ETC_20150918_014518	#王陵の破壊阻止に失敗しました！
ETC_20150918_014519	#魂の整数を取得しました！
ETC_20150918_014520	#経典を獲得しました！
ETC_20150918_014521	#説得に成功しました！
ETC_20150918_014522	#変身に成功しました！{nl}ナクティスの手下たちをガウル・レ・祭壇に誘引してください
ETC_20150918_014523	#ペレトリ丘陵でのみ使用することができます
ETC_20150918_014526	#赤い葉を獲得しました！{nl}
ETC_20150918_014529	#入場する
ETC_20150918_014530	#入場しない
ETC_20150918_014531	#魔方陣の祝福を受ける間だけボックスの所有者になることがあります！
ETC_20150918_014532	#餌中
ETC_20150918_014533	#既に試したモンスターです！{nl}他の種類のモンスターにお試しください
ETC_20150918_014534	#飼いならすを試みたが、失敗しました
ETC_20150918_014535	#攻撃が外れました！{nl}もう一度最初から始めてください
ETC_20150918_014536	#何を売るか尋ねる
ETC_20150918_014537	#今フェディミアンに行くか尋ねる
ETC_20150918_014538	#晴れとする
ETC_20150918_014539	#曇っとする
ETC_20150918_014540	#雨が降るとする
ETC_20150918_014541	#メイ回鍵を取得しました！
ETC_20150918_014542	#浄化のスクロールを使用しました
ETC_20150918_014543	#濁り物を回収しました！
ETC_20150918_014544	#足場が押されました
ETC_20150918_014545	#保守中のモンスターが現れました！
ETC_20150918_014546	#大きな植物抑制装置を回収しました
ETC_20150918_014547	#小さな植物抑制装置を設置しました
ETC_20150918_014548	#配信に失敗しました
ETC_20150918_014549	#今付いている部分には、加工することができるものがありません
ETC_20150918_014550	#既に爆音弾インストールする場所です
ETC_20150918_014553	#邪念席
ETC_20150918_014555	#収拾するの
ETC_20150918_014556	#燃やす中
ETC_20150918_014558	#兵士持ち上げする
ETC_20150918_014559	#機器の検索
ETC_20150918_014564	#魔力が宿った骨のインストール
ETC_20150918_014565	#魔力が宿った骨
ETC_20150918_014566	#束縛の証を使用中
ETC_20150918_014568	#フクロウ像のインストール中
ETC_20150918_014569	#フクロウ像がインストールされました
ETC_20150918_014570	#高原兵士ヒックス
ETC_20150918_014578	#フリントを探して
ETC_20150918_014588	#石確認中
ETC_20150918_014591	#警備兵だ！
ETC_20150918_014592	#侵入者だ！
ETC_20150918_014595	#一部のフィールドのモンスターは戦闘中なので呼んで失敗しました。
ETC_20150918_014596	#略奪成功！
ETC_20150918_014597	#アイテムを製作しています。
ETC_20150918_014598	#補助物理攻撃力
ETC_20150918_014599	#補助魔法攻撃力
ETC_20150918_014600	#本当にブロックしますか？
ETC_20150918_014601	#まだ良いができません。
ETC_20150918_014602	#親善対決申し込み
ETC_20150918_014603	#{Name}様との親善対決を受け入れるか？
ETC_20150918_014604	#親善対決を開始！
ETC_20150918_014605	#お住まいの地域のフィールドボスが死亡した。
ETC_20150918_014606	#エラーのために、現在のマップでPVPに参加することができません。
ETC_20150918_014609	#順番に
ETC_20150918_014610	#ランダム分配
ETC_20150918_014611	#それぞれ得る
ETC_20150918_014612	#共有
ETC_20150918_014613	#非共有
ETC_20150918_014614	#今日のインスタンスダンジョンに参加回数を超えました。
ETC_20150918_014615	#インスタンスダンジョン制限レベルよりも低い
ETC_20150918_014616	#押し寄せるメシュムを退治してください！
ETC_20150918_014617	#トレジャー部ベガ気づいた！
ETC_20150918_014618	#周辺のモンスターを退治してください！
ETC_20150918_014619	#契約の守護者が気づいた！
ETC_20150918_014620	#ブーベ襲撃ボトルを退け秘密の通路に爆弾を設置してください
ETC_20150918_014621	#棒の認識を破壊しようとするモンスターを阻止してください！
ETC_20150918_014622	#適当に乾燥木の枝を見つけました！
ETC_20150918_014623	#不吉な魂を退治してください！
ETC_20150918_014624	#王陵2階のボスを倒してください！
ETC_20150918_014625	#試験用の餌の実験に成功しました！
ETC_20150918_014626	#像保護に失敗しました！
ETC_20150918_014627	#麻酔薬の実験に成功しました！
ETC_20150918_014628	#石化クジラ処置に成功しました！{nl}イェクプが弱体化されます
ETC_20150918_014629	#石化クジラ処置に失敗しました！{nl}イェクプが強化され
ETC_20150918_014630	#キャラフェイス処置成功しました！{nl}イェクプが弱体化されます
ETC_20150918_014631	#キャラフェイス処置に失敗しました！
ETC_20150918_014632	#女神ばかりはいの上を守らんでした！
ETC_20150918_014633	#魂の遺品が不足して！
ETC_20150918_014634	#メダイキアが吸収されてい！
ETC_20150918_014635	#爆弾を設置しました！
ETC_20150918_014636	#2.押し寄せるモンスターを退治してください！
ETC_20150918_014637	#ファランクス実戦訓練に成功しました！
ETC_20150918_014638	#説得に成功しました！{nl}圧死呉祭壇に連れて行ってください
ETC_20150918_014639	#本ちび木の樹液を獲得しました！
ETC_20150918_014640	#吸収スクロールを使用しました
ETC_20150918_014641	#お住まいの地域では、モンスターを召喚することはできません。
ETC_20150918_014642	#お住まいの地域では実行できないスキルです。
ETC_20150918_014643	#エラーが発生してクライアントを終了します。{nl}利用に不便をお掛けします。{nl}下部の[はい]ボタンを押すと、エラーの内容が開発会社に配信されます。{nl} {nl}※送信される情報：エラーコード、CPU、VGA、メモリドライバ情報
ETC_20150918_014644	#[ログマスター] {nl}ゲマ
ETC_20150918_014645	#[雑貨商人] {nl}ミューラス
ETC_20150918_014646	#[機器商人] {nl}よ至るス
ETC_20150918_014647	#[鍛冶屋] {nl}アンナ
ETC_20150918_014648	#[マーケット管理人] {nl}モルルン
ETC_20150918_014649	#[倉庫番] {nl}紫檀
ETC_20150918_014651	#[アクセサリー商人] {nl}ヨアナ
ETC_20150918_014653	#大聖堂の地下ダンジョン伝言板
ETC_20150918_014655	#所有者のない墓
ETC_20150918_014657	#が一流スルグィン
ETC_20150918_014658	#行商人
ETC_20150918_014661	#立
ETC_20150918_014662	#大魔導士のダンジョン伝言板
ETC_20151001_014663	#青いスパナス魂
ETC_20151001_014664	#ラファエルマイター
ETC_20151001_014665	#ラファエルジャド
ETC_20151001_014666	#ラファイター
ETC_20151001_014667	#ラプラマー
ETC_20151001_014676	#ラファエル遠い
ETC_20151001_014677	#セクションアリやトラック
ETC_20151001_014678	#追撃者ウエアウルフ
ETC_20151001_014679	#カルスのハンターデュラハン
ETC_20151001_014680	#アシャク地下監獄1階
ETC_20151001_014681	#アシャク地下監獄2階
ETC_20151001_014682	#アシャク地下監獄3階
ETC_20151001_014683	#つるの森ダンジョン
ETC_20151001_014684	#とげの森ダンジョン
ETC_20151001_014686	#私れることを知って！
ETC_20151001_014687	#新授与、私の力を。
ETC_20151001_014690	#本姿を現した乾くリースを退治してください！
ETC_20151001_014691	#彼らは来てね！
ETC_20151001_014692	#乾きリース様！
ETC_20151001_014693	#敵引き込むなんて。{nl}役に立たないこと！
ETC_20151001_014694	#沈黙スクロールを使用してみましょう周辺が静かになります！{nl}安心してガーゴイルを退治してください！
ETC_20151001_014695	#こちらに避けてください！
ETC_20151001_014696	#石化霜が吹き始めました！{nl}安全な場所に避難してください！
ETC_20151001_014697	#人の気配を感じたモンスターがかかってます！
ETC_20151001_014698	#ボックスの中で微弱な石化霜があふれ出ました！{nl}石化霜を避けてモンスターを倒しパット！
ETC_20151001_014699	#魂集約基破壊される音に膨大な数のモンスターが集まってきます！
ETC_20151001_014700	#もう大丈夫、そう他。
ETC_20151001_014701	#夢中だったのか！
ETC_20151001_014702	#愚かソクギン。
ETC_20151001_014705	#村社製
ETC_20151001_014711	#魔族のトーテム
ETC_20151001_014712	#女神の水晶玉
ETC_20151001_014716	#魔族追撃者たちを退治してください！
ETC_20151001_014717	#しつこい奴ら！
ETC_20151001_014718	#早いだけスがあるところまでアリ私護衛してください！
ETC_20151001_014719	#追撃者ウエアウルフを倒してください！
ETC_20151001_014720	#押し寄せる魔族を倒してください！
ETC_20151001_014721	#的雅楽！
ETC_20151001_014722	#耐えなさい。{nl}耐えられなければ死ぬ！
ETC_20151001_014723	#どうやら私の運は... {nl}ここまでようだ。
ETC_20151001_014724	#マ君主ハウバックが再結合する時に彼を見てください！
ETC_20151001_014726	#受賞項装置
ETC_20151001_014728	#カルスのハンターを退治してください！
ETC_20151001_014729	#ルグィンガの道
ETC_20151001_014730	#私たちは修正に集中しよう！
ETC_20151001_014732	#なんの煙が！
ETC_20151001_014734	#ファビオラユース！ちょっとこっち。
ETC_20151001_014736	#ファビオラユース
ETC_20151001_014739	#社製イルマ
ETC_20151001_014740	#今ガシジョ
ETC_20151001_014741	#封印されたグェチャク
ETC_20151001_014742	#注意してください！{nl}モンスターが集まってきます！
ETC_20151001_014743	#あなたも本当にお疲れ様ショトソ。
ETC_20151001_014744	#魔法陣の中央装置
ETC_20151001_014745	#爆音弾がからになりました
ETC_20151001_014746	#王国軍警備兵を基づいて王国軍の駐屯地に移動してください！
ETC_20151001_014747	#この悲鳴...駐屯地じゃないの？
ETC_20151001_014748	#的ああっ！
ETC_20151001_014749	#まあ助かるようなものか。
ETC_20151001_014750	#文書しかないでしょ！
ETC_20151001_014751	#正体不明の箱
ETC_20151001_014753	#先ほど見た様子をアマンダに通知ください
ETC_20151001_014756	#ルクルレスの装置
ETC_20151001_014757	#何ですか？まさか魔方陣が..？
ETC_20151001_014758	#自分の力をもって。ここまでか。
ETC_20151001_014759	#バー..ばかりはい!!!!
ETC_20151001_014760	#あなたのすべてを罵倒する！
ETC_20151001_014763	#二時間バフアイコン表示用
ETC_20151001_014764	#二時間保持用
ETC_20151001_014765	#遺体
ETC_20151001_014766	#体が倒れました。
ETC_20151001_014767	#神秘的な少女と遭遇したました。
ETC_20151001_014769	#気が遠くなって動くことができません。
ETC_20151001_014777	#指定された条件は、常に真である必要があります。
ETC_20151001_014778	#指定された条件は、常に真である必要があります。次の情報を参照してください。
ETC_20151001_014779	#指定された条件は、常に真である必要があります。プログラムを終了させます。
ETC_20151001_014780	#テーブルの初期化に失敗しました。次の情報とファイルのロードの失敗など、以前のログを参照してください。
ETC_20151001_014781	#サーバーの初期化に失敗しました。プログラムを終了します。
ETC_20151001_014782	#ネクソンAuthCheckに失敗しました。エラーコードとauthCheck.hのエラーコード表を確認してください。
ETC_20151001_014783	#クライアントには、次のようなエラーまたはログを送信しました。
ETC_20151001_014784	#バイナリにメモリAllocateを失敗しました。バイナリsize指定を確認してください。
ETC_20151001_014785	#パケットバッファオーバーフローが発生しました。
ETC_20151001_014786	#GUIDが重複しているため、既存のオブジェクトが削除されました。
ETC_20151001_014787	#インベントリからアイテムを見つけることができませんでした。
ETC_20151001_014788	#既に存在しているクライアントクラスです。
ETC_20151001_014789	#存在しないクライアントクラスです。
ETC_20151001_014790	#間違ったスロットのIDです。
ETC_20151001_014791	#正しくないEquip Slotです。
ETC_20151001_014792	#あまりにも多くのオークションアイテムを送信しようとしました。
ETC_20151001_014793	#競売場ロジックが間違っています。
ETC_20151001_014794	#IESオブジェクトの作成に失敗しました。
ETC_20151001_014795	#IESオブジェクトのGUIDが重複しています。
ETC_20151001_014797	#IESオブジェクトからプロパティを保存するのに失敗しました。
ETC_20151001_014798	#数型のプロパティを文字列の形でアクセスしようとしました。
ETC_20151001_014799	#文字列型のプロパティを数形でアクセスしようとしました。
ETC_20151001_014800	#誤った座標値です。パスエージェントを作成するのに失敗しました。
