QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150317_000041	ドミニクの婚約指輪を探してください。{nl}私は任務遂行中なので席を外すわけにはいかないんです。
QUEST_LV_0200_20150317_000042	似たようなものを買ってきてやったのに相変わらずうるさくて…。{nl}まったく…心の狭い奴。
QUEST_LV_0200_20150317_000043	この汚いものは何ですか？{nl}あれ？中に指輪が入ってる…？
QUEST_LV_0200_20150317_000044	剣は入らないし、取り出す方法がありませんね。{nl}そうだ…、丸ごと燃やしてしまえば取り出せるのでは？
QUEST_LV_0200_20150317_000045	どうせなら太くないものを持ってきてもらいたいです。
QUEST_LV_0200_20150317_000046	ちょうどいい大きさですね。{nl}では…勤務中にこっそり燃やすにはどうすればいいかな？
QUEST_LV_0200_20150317_000047	イシュシネティの崖に行くと、乾いた茨がたくさんあります。{nl}私は警戒任務で席を外せないので、今回もよろしくお願いします。
QUEST_LV_0200_20150317_000048	あ、イシュシネティの崖の上のほうなら見つからずに燃やせると思います。{nl}これで最後のお願いです。火を起こす準備だけしておいてください。
QUEST_LV_0200_20150317_000049	もう絶対に、二度と他人の結婚式に興味を持ったりはしませんから。
QUEST_LV_0200_20150317_000050	トイレ休憩のついでに燃やそうと思います。{nl}本当にありがとうございます。
QUEST_LV_0200_20150317_000051	兵士フォルター
QUEST_LV_0200_20150317_000052	なんと、命令書にはこの周辺のモンスターを全部退治しろと書かれています。{nl}私一人でこの数と戦うのは到底無理だと思いますが…。
QUEST_LV_0200_20150317_000053	私一人ではとても無理でした。{nl}力を貸してくださるなんて本当に嬉しいです。
QUEST_LV_0200_20150317_000054	本当に、嬉しくて泣きそうですよ。{nl}助けてくださってありがとうございます。
QUEST_LV_0200_20150317_000055	指揮官ジュリアン
QUEST_LV_0200_20150317_000056	本当にありがとう。{nl}もしよければもう少し力を貸してくれないか？{nl}
QUEST_LV_0200_20150317_000057	ヴェルトイ交差路で、指揮官オルク部隊を支援してくれないか？
QUEST_LV_0200_20150317_000058	指揮官オルク
QUEST_LV_0200_20150317_000059	素晴らしい実力だ。{nl}うむ…ジュリアンにお礼でもしないとな。
QUEST_LV_0200_20150317_000060	アイアンバウムを見ていて思ったのだが、{nl}あいつは本当にすごい奴だ。
QUEST_LV_0200_20150317_000061	オルク部隊はアイアンバウムとの度重なる戦闘で疲労が溜まっている。{nl}君が力を貸してやればとても喜ぶはずだ。
QUEST_LV_0200_20150317_000062	去りゆくフクロウの彫像
QUEST_LV_0200_20150317_000063	棘の森を浄化してくれる兵士たちをお手伝いしたいのですが、私にはそんな力がありません。{nl}ツリーグールでもいいので倒してきてくれませんか？
QUEST_LV_0200_20150317_000064	また昔のように大勢の人がこの道を通ってくれるといいですね。{nl}人々と接するのは本当に楽しいですから。
QUEST_LV_0200_20150317_000065	ありがとうございます。私の頼み事のせいで大変でしたね。
QUEST_LV_0200_20150317_000066	いいぞ。ニウラス街道で我が部隊員の消息が途絶えてしまった。{nl}彼らの捜索を頼む。
QUEST_LV_0200_20150317_000067	もし捜索しても見つからなければ、一旦ここに帰ってきてくれ。
QUEST_LV_0200_20150317_000068	兵士カルス
QUEST_LV_0200_20150317_000069	まだ奥には仲間たちがたくさんいます。{nl}支援をお願いします。
QUEST_LV_0200_20150317_000070	兵士ダイニュス
QUEST_LV_0200_20150317_000071	ドリエザ湿地でアイアンバウムに襲われました。{nl}まだ何人かの隊員が逃げられずに取り残されています。{nl}
QUEST_LV_0200_20150317_000072	仲間を置いて逃げてしまった自分が…惨めで仕方がありません。{nl}
QUEST_LV_0200_20150317_000073	落ち着いたフクロウの彫像
QUEST_LV_0200_20150317_000074	お願いしたいことがあります。{nl}ラバインラーヴァのせいで苦しんでいる兵士たちが気の毒でなりません。
QUEST_LV_0200_20150317_000075	ありがとうございます。{nl}これで兵士たちも安心して作業できるでしょう。
QUEST_LV_0200_20150317_000076	力を貸してくださって本当にありがとうございました。{nl}いつか霊魂になって再会できたら、必ず恩返ししますね。
QUEST_LV_0200_20150317_000077	君、あの有名な啓示者ではないか。{nl}ちょうど困っていたからよかった。君の助けが必要なのだ。
QUEST_LV_0200_20150317_000078	おお、やっと命令書が届きましたね。{nl}指揮官ジュリアン様のところに戻ってください。
QUEST_LV_0200_20150317_000079	私はアイアンバウムに関する情報を集めておく。{nl}大王の関門への道を開くためには、まずはこいつを倒さなければならないのだ。
QUEST_LV_0200_20150317_000080	そう言ってもらえて心強い。{nl}ジャイズダの丘にいるフォルターにこの命令書を届けて戻ってきてくれ。
QUEST_LV_0200_20150317_000081	あの頃に戻りたいです。{nl}茨のようなものはなかったんですよ。
QUEST_LV_0200_20150317_000082	大王の関門までの道が安全なものになれば、またたくさんの人が見に来てくれるでしょう。{nl}
QUEST_LV_0200_20150317_000083	長い間、あまりにもたくさんのものを見てきました。{nl}これからは楽しいことだけをやって暮らしていきたいです。
QUEST_LV_0200_20150317_000084	人間の霊魂は、どうしてあんなに多くのものを抱え込んでいるのでしょうか。
QUEST_LV_0200_20150317_000085	この状況でモンスターまで現れてしまったらもうお終いです。
QUEST_LV_0200_20150317_000086	我々は大王の関門までの道を開く作業をしています。{nl}アイアンバウムはどうなったか、何か情報は入っていませんか？
QUEST_LV_0200_20150317_000087	グループをまとめる指導者になるためには、ぶれない原則を身につけることが大事だ。
QUEST_LV_0200_20150317_000088	大王の関門までの道を開くことは無謀とも言える。{nl}しかし、かといって命令に逆らうわけにはいかんのだ。
QUEST_LV_0200_20150317_000089	決して仲良しとは言えませんが、指揮官のお二人は意外と息が合うんです。
QUEST_LV_0200_20150317_000090	誰もいなくてとても寂しいです。{nl}人と話すのって…本当に久しぶりですね。
QUEST_LV_0200_20150317_000091	誰もいないこの森に何の用ですか？{nl}まさか、再び道が開いたんですか？
QUEST_LV_0200_20150317_000092	ありがとうございます。{nl}これで兵士たちも、私の仲間たちも安心して眠れるでしょう。
QUEST_LV_0200_20150317_000093	手足の感覚がなくなってきた。{nl}寒いわけでもないのに…変な気分だ。
QUEST_LV_0200_20150317_000094	ガイガラスは必ず倒す。{nl}そうしないとこの怒りは収まらないのだ。
QUEST_LV_0200_20150317_000095	まもなくガイガラス狩りを始める。{nl}わくわくするな。
QUEST_LV_0200_20150317_000096	恨みというのは本当に悲しいものです。{nl}何もできずに見ているだけというのも辛いですし。
QUEST_LV_0200_20150317_000097	邪悪な存在が暴れ続ける限り、これからも犠牲者は増えていくでしょう。
QUEST_LV_0200_20150317_000098	合同調査団フレイ
QUEST_LV_0200_20150317_000099	私はフレイ。{nl}話を聞くとあまり状況は良くないらしいわね。{nl}スコットと君が調査した結果がそうなのであれば…。
QUEST_LV_0200_20150317_000100	{nl}私もここで何か手伝わなきゃ。{nl}まずはレッドゴブリンを少し倒してきてくれる？目障りで仕方がないの。
QUEST_LV_0200_20150317_000101	じゃあ、頼んだわよ！{nl}あの赤色を見るだけでイライラしちゃう。
QUEST_LV_0200_20150317_000102	わぁ、本当に私のためにやってくれたの？{nl}すごく助かる！
QUEST_LV_0200_20150317_000103	スコットの話を聞いて思い出したんだけど、{nl}ウッドマンっていう、生きて動く木の欠片のようなものがあるんだ。{nl}もしかして、ゴブリンが持ってた木の皮と関係あるのかな？
QUEST_LV_0200_20150317_000104	そういえば、スコットは2次報告書を送ると言ったきり何の連絡もないな。{nl}ひょっとしてスコットに何かあったとか？うーん…。
QUEST_LV_0200_20150317_000105	わぁ、すごい！{nl}これで君に借りができちゃったね。どうもありがとう！
QUEST_LV_0200_20150317_000106	やっぱりそうでしょう？じゃあ、君にお願いするね。{nl}ウッドマンは、左の道を進むと出てくる鹿蹄の空き地のほうで出没するの。
QUEST_LV_0200_20150317_000107	この破片とスコットの資料を組み合わせた結果を先輩に伝えようと思っているんだ。{nl}でもスコット…、報告書を提出すると言ったのがもうだいぶ前なんだけどまだ連絡が来てないの。{nl}ちゃんとした文章で伝えたほうが他の調査団員もわかりやすいと思わない？{nl}
QUEST_LV_0200_20150317_000108	よかったらスコットを訪ねて報告書をもらってきてくれる？{nl}もしもサボってたら思いっきり叱ってやってね！
QUEST_LV_0200_20150317_000109	スコットの報告書をよろしくね！{nl}ちょっと頼りない所はあるけど、憎めないヤツなの。
QUEST_LV_0200_20150317_000110	申し訳ない。最近色々と調査することがあってバタバタしていたら…。{nl}本当に助かった。君が来てくれなかったら今ごろ私は…。{nl}ふぅ、想像しただけでゾッとする。{nl}
QUEST_LV_0200_20150317_000111	そうだ、思い出したぞ。{nl}悪いがこの研究資料をフレイに届けてくれないか？{nl}ゴブリンたちが荒らしてしまったものを全部片付かなくちゃならないのに…一体どこから手をつければいいんだ？
QUEST_LV_0200_20150317_000112	あぁ、報告書ね！{nl}そう、スコットは今まで何をしてたって？{nl}
QUEST_LV_0200_20150317_000113	そう？ゴブリンすら自分一人で片づけられないの？{nl}本当に恥ずかしいな…。今度会ったらビシッと一言言ってやらなきゃ！
QUEST_LV_0200_20150317_000114	何もかも無茶苦茶だ！{nl}あのゴブリンたちのせいで全く集中できない。{nl}この状況をフレイが見たら鼻で笑うだろうな。
QUEST_LV_0200_20150317_000115	合同調査団フレイ
QUEST_LV_0200_20150317_000116	事件の真相はまだまだ把握できていないの。まだやることがたくさん残っているわ。{nl}さぁ、これを受け取って。霊魂収集書よ。{nl}
QUEST_LV_0200_20150317_000117	レッドゴブリンアーチャーにこの魔術書を使ってから倒すと、精神体だけがきれいに抜けるんだ。{nl}それを集めてきてくれる？資料の整理に使えそうだから。
QUEST_LV_0200_20150317_000118	順番を間違わないで。{nl}まずレッドゴブリンアーチャーに霊魂収集書を使ってから倒すの。わかった？
QUEST_LV_0200_20150317_000119	ゴブリンたちが持っていたという木の皮だけど、{nl}何か霊的なもので繋げられそうなんだよね…。{nl}うぅん…、よし。このことをユカットに伝えて。
QUEST_LV_0200_20150317_000120	合同調査団ユカット
QUEST_LV_0200_20150317_000121	フレイとスコットが頑張ってくれたようだな。君の意見はどうだ？{nl}俺はこんなものをゴブリンらが作ったとは思わないが。{nl}この木の皮で何をするつもりなのか、じっくり調査するつもりだ。{nl}
QUEST_LV_0200_20150317_000122	もしかすると、以前兵士たちが残して行った補給品箱の中に何かがあるかもしれない。{nl}あの上のほうに進めば古い補給品箱がいくつかあるから、{nl}見に行ってくれないか？そこで手に入れた手がかりがあれば、しっかりした結論が出せると思う。
QUEST_LV_0200_20150317_000123	通ってきた道を少し戻ると、丘の上に監視塔が見えるだろう。{nl}まだモンスターに気づかれていないといいが…。
QUEST_LV_0200_20150317_000124	こいつら…一体何を企んでるんだ？{nl}怪しいぞ……やっぱり怪しい…。
QUEST_LV_0200_20150317_000125	ゴブリンたちが補給品箱を壊してこれを持ち去っただと？{nl}なぜだ？…まさか本当にあいつらはあれを作っていたのか？{nl}まさか…あり得ない。ゴブリンにそんな知能はないはずだ。{nl}
QUEST_LV_0200_20150317_000126	よし！集中して、とことん突き止めていくぞ！
QUEST_LV_0200_20150317_000127	よし。覚悟はいいな！{nl}
QUEST_LV_0200_20150317_000128	君が来る前に、ゴブリンたちがあちこちへ走っていくのを見た。{nl}ゲベネー絶壁に行って、様子を見てきてくれ。
QUEST_LV_0200_20150317_000129	ここで起きたすべての出来事はいつもゴブリンとつながっていた。{nl}偶然というには完璧すぎる…。
QUEST_LV_0200_20150317_000130	おっと、まさか……。そうか、やっと一連の謎が解けたぞ。{nl}それはおそらく、ウッドスピリットという巨大モンスターを作り出す工場のようなものだったのかもしれない。{nl}
QUEST_LV_0200_20150317_000131	ゴブリンたちの旗が幽霊を呼び寄せたんだ。{nl}そうやって集まった幽霊が木を汚染し、ついには巨大なモンスターを作り出したんだよ。{nl}
QUEST_LV_0200_20150317_000132	あの木の皮は、きっとウッドスピリットを作るための材料だったはず。{nl}こんな恐ろしいことをゴブリンたちが考えたとは思えない。{nl}きっと何者かに呪われてるんだろう。
QUEST_LV_0200_20150317_000133	ゴブリンたちが集まっている所に行けば、何か決定的な証拠を見つかるかもしれない。{nl}フレイが見たら大喜びするだろうな！
QUEST_LV_0200_20150317_000134	ゴブリンは頭が良くないから、単純な命令だけを下しているはずだ。{nl}ゴブリンをこき使おうとするなんて…{nl}呆れて言葉も出ないな。{nl}
QUEST_LV_0200_20150317_000135	きっとウッドスピリットは色んな場所で作られているんだろう。{nl}邪悪な気が集まってくるような感じがするからな。{nl}早くウッドスピリットを作り出す旗だけでも破壊しなければ！
QUEST_LV_0200_20150317_000136	準備ができ次第出発する。{nl}一刻も早くウッドスピリットを生産できないようにするんだ。
QUEST_LV_0200_20150317_000137	ひとまず急場はしのいだ。{nl}すでに作られてしまったものはどうしようもないが…。
QUEST_LV_0200_20150317_000138	ここから最も近い旗は、ゴッドベース街道の近くのようだ。{nl}人々が目撃したという巨大な木のようなものとは、おそらくウッドスピリットのことだろう。{nl}こんな単純なことに気づかなかったなんて俺もまだまだ未熟だな。
QUEST_LV_0200_20150317_000139	誠実な隊長フクロウの彫像
QUEST_LV_0200_20150317_000140	本当にありがとうございます。{nl}あなたのあかげで他のフクロウたちも勇気を得たと思います。
QUEST_LV_0200_20150317_000141	弱ったフクロウの彫像
QUEST_LV_0200_20150317_000142	もう手遅れのようですね。{nl}我々の女神様はどこにいらっしゃるのでしょう…。
QUEST_LV_0200_20150317_000143	最後にお願いがあります。{nl}命を奪われたフクロウたちを燃やして、安らかに眠らせてくれませんか？
QUEST_LV_0200_20150317_000144	仲間たちは無事に女神アウシュリネの元へ還れるのでしょうか？
QUEST_LV_0200_20150317_000145	本当に感謝します。{nl}まずは、ニュオダー平原へ行く途中にある油の箱を持ってきてください。
QUEST_LV_0200_20150317_000146	よかったらもう少し力を貸してくれ。{nl}伝令を送ったのだが先ほどの襲撃で被害はないか気になってな。{nl}
QUEST_LV_0200_20150317_000147	伝令が無事だといいが…心配だ。
QUEST_LV_0200_20150317_000148	ありがとう。{nl}今ごろ慟哭き場の辺りにいるはずだ。
QUEST_LV_0200_20150317_000149	ここカーティン森入口は比較的安全な場所だが、他の場所は未だ修復作業が続いているのだ。{nl}モンスターに奪われたカーティン森を再び取り戻すために、兵力が配置されている。
QUEST_LV_0200_20150317_000150	それに、深く入るほど兵力不足や補給不足に悩まされているらしい。{nl}君のような実力者が率先して彼らを助けてやってくれれば、きっと大きな力になるはずだ。{nl}
QUEST_LV_0200_20150317_000151	倒れた伝令
QUEST_LV_0200_20150317_000152	カーティン森の入口が落ち着いたと聞いて油断していました。{nl}少しだけ休んでからキャンプに戻るつもりです。
QUEST_LV_0200_20150317_000153	あぁ、これは私のカバン…、助けてくださって本当にありがとうございます。{nl}
QUEST_LV_0200_20150317_000154	申し訳ないのですが、今力を借りられるのはあなたしかいません。{nl}フェレダ十字路のフィリックス様に、作戦が始まったことを伝えていただけませんか？{nl}{nl}
QUEST_LV_0200_20150317_000155	カーティン森には、他の森では見られないものがたくさんある。{nl}木彫りのフクロウの像のようなものもあるし…。
QUEST_LV_0200_20150317_000156	作戦？…まったく愚かな伝令だ。{nl}キャンプに戻って改めて聞けば良いだけなのに…。とにかくご苦労だった。{nl}
QUEST_LV_0200_20150317_000157	あと一つ。帰り道が暗いから、消えている焚き火をもう一度つけてくれると助かる。
QUEST_LV_0200_20150317_000158	カーティン森は、昼でも日が差さないような鬱蒼とした森だ。{nl}まるで幽霊が出てきそうな薄暗い感じさ。
QUEST_LV_0200_20150317_000159	ご苦労だった。伝令は無事だったか？{nl}おかげでこちらの騒ぎも落ち着いたぞ。
QUEST_LV_0200_20150317_000160	私はここでもう少し休むことにします。{nl}どこか隠れられそうな場所をこのあたりで探します。
QUEST_LV_0200_20150317_000161	サルティスタがここまで入ってくるとはな。後で警備責任者を呼んで責任を問わなければ。{nl}とにかくご苦労だった。噂通りの実力だったぞ。{nl}
QUEST_LV_0200_20150317_000162	警備兵ライル
QUEST_LV_0200_20150317_000163	先日、石化の霜で多くの同僚が命を落としました。{nl}なのに新米クロノマンサーひとりを支えるためにこんな所にいさせられるなんて…効率が悪すぎると思いませんか？{nl}しかも凶暴なモンスターたちはいつ急変して襲ってくるかわからない状況なんです。
QUEST_LV_0200_20150317_000164	もしよければ、我々がここを守っている間に周囲のモンスターたちを片づけていただけませんか？
QUEST_LV_0200_20150317_000165	今の状況であの我がままな女の面倒まで見なきゃいけないなんて、あまりにも辛すぎます。
QUEST_LV_0200_20150317_000166	ありがとうございます。これでしばらくは安全に過ごせるでしょう。
QUEST_LV_0200_20150317_000167	ここに、わずか数週間前に石化の霜にやられた仲間たちがいます。{nl}世の中がこんな状況になってからはまともな支援も受けられないので、そのまま放置して待つしかありません。{nl}なのにモンスターたちは石化した被害者たちをさらに攻撃しているんですよ！あの卑怯な奴らめ！
QUEST_LV_0200_20150317_000168	まだ石のままになっている仲間を見かけましたら、少しだけ側にいてあげてくれませんか？
QUEST_LV_0200_20150317_000169	被害者の中には、私の昔からの友人ガレンもいます。{nl}どうか彼を守ってあげてください。
QUEST_LV_0200_20150317_000170	本当にありがとうございます。早く支援が来てあんな姿でも家族の元に戻れるといいのですが…。
QUEST_LV_0200_20150317_000171	ルクリス通りには、その名前どおり呪われた文献や浄化されていないものがたくさんあります。{nl}それを狙ってこの都市に押し寄せる盗掘師も少なくありません。{nl}中でもディーコ盗掘団の奴らは大人数で警備兵を襲ったりするのでとても厄介なんです。
QUEST_LV_0200_20150317_000172	軍事地区で奴らを倒してくれませんか？{nl}身柄さえ確保してくだされば、あとは我々が連行します。
QUEST_LV_0200_20150317_000173	こないだ捕まった奴は、石像から話しかけられたと言っていました。{nl}くだらない言い訳ですよね？
QUEST_LV_0200_20150317_000174	おかげで盗掘師をたくさん連行できそうです。{nl}ありがとうございました。
QUEST_LV_0200_20150317_000175	警備兵ノマビス
QUEST_LV_0200_20150317_000176	数日前、我々の補給品をディーコ盗掘団の奴らに盗まれました。{nl}間違いなくドリッサ礼拝所の廃墟に持って行ったと思いますが、ここを離れるわけにはいかず困っています。
QUEST_LV_0200_20150317_000177	お願いします。盗まれた補給品を取り戻していただけませんか？
QUEST_LV_0200_20150317_000178	数十年前には、盗掘師らが警備哨所を襲撃したり補給品を盗み出したりして大騒ぎになったこともあります。
QUEST_LV_0200_20150317_000179	親しげに話しかけてきて、裏ではものを盗んでいくのでどうしようもありません。{nl}結局、合法的に補給品を持って行きたいと言い出したせいで絞首台送りになりましたが。
QUEST_LV_0200_20150317_000180	ディーコ盗掘団の奴ら、だんだん規模が大きくなっていて心配です。{nl}モンスターたちを手懐けているのか、それとも他に何かやっているのかはわかりませんがとても親しげなんです。{nl}先日、カリス騎士団が襲われたという話を聞きました。{nl}奴らはもしかするとサビナ様を狙っているのかもしれません。いつも高価なものを持ち歩いているので…。
QUEST_LV_0200_20150317_000181	危険を未然に防ぐためには、奴らが動き出す前に倒すしかありません。{nl}ドリッサ礼拝所の廃墟にいって、奴らを倒してきてください。
QUEST_LV_0200_20150317_000182	数百年前に滅亡してしまった都市は、守るべき財産も人命も残っていません。{nl}むしろ遺跡を守っているような感じです。ちょうど盗掘師もそこにいますしね。
QUEST_LV_0200_20150317_000183	奴らを懲らしめてくれたんですね。お疲れ様でした。
QUEST_LV_0200_20150317_000184	数週間前、この都市で勤務していた仲間たちが石化の霜にやられ、今は石像になって広場に立たされています。{nl}盗掘師が仕掛けた罠を除去中に石化の霜をかぶってしまったようですが…。{nl}今も所々に罠が残されています。その中のひとつを見つけましたが、処理をお願いしてもいいですか？
QUEST_LV_0200_20150317_000185	もしかすると、ディーコ盗掘団は警備兵よりも数が多いかもしれません。
QUEST_LV_0200_20150317_000186	あいつら…外部からモンスターを連れ込んだようですね。危険にさらして申し訳ありません。
QUEST_LV_0200_20150317_000187	クロノマンサー サビナ
QUEST_LV_0200_20150317_000188	ここでたくさんのことがありましたが、あまりにも昔のことなので真実を突きとめるにはより多くの情報が必要です。{nl}崩れた凱旋門の近くに残されている記録物を見つけて、その内容の拓本をとっていただけませんか？
QUEST_LV_0200_20150317_000189	激動の時間の中で、すべてが砕け散ってしまうんですね。
QUEST_LV_0200_20150317_000190	ありがとうございます。内容を見ると没落当時のもののようです。{nl}決定的な内容はもう少し探してみることにしましょう。
QUEST_LV_0200_20150317_000191	ここで色んな実験を行っていますが、モンスターたちが邪魔して更なる過去を見ることができません。{nl}私の代わりに過去を覗いてきてくださいませんか？
QUEST_LV_0200_20150317_000192	フェルゲレ大路の周辺でこのタイムルーペを使ってください。そうすると過去の出来事が映像となって映し出されるはずです。
QUEST_LV_0200_20150317_000193	大事に使ってから返してくださいね。ひとつしかない貴重なものですから。
QUEST_LV_0200_20150317_000194	一体何があったのでしょう？今日ここで見たものは、外では一切話さないようにしてくださいね。
QUEST_LV_0200_20150317_000195	より詳しく事情を知るためには、結局ルクリスの本拠地である大地の要塞に入るしかなさそうですね。{nl}でも、王国軍が出入りを制限していて中に入ることができません。{nl}そこで、ひとつ良い方法を思いついたのですが…。
QUEST_LV_0200_20150317_000196	ここには、大地の要塞の敗残兵たちが逃げる時に使っていたポータルがあります。{nl}記録によると全部で10か所もあるんだとか。{nl}そのうち4か所がここにあるらしいので、まだ使える状態かどうか確認していただけませんか？
QUEST_LV_0200_20150317_000197	今私たちが計画していることは、死刑にも値するものです。{nl}秘密は必ず守ってください。
QUEST_LV_0200_20150317_000198	軍事地区にあるポータルが唯一の希望ですね。
QUEST_LV_0200_20150317_000199	ハンタータラス
QUEST_LV_0200_20150317_000200	俺は星の塔を立てたリディア・シャッフェンの数少ない痕跡を探している。{nl}ルクリスの胸に矢を的中させたという伝説の弓使い、リディア・シャッフェンのことだ。
QUEST_LV_0200_20150317_000201	王国軍レティア
QUEST_LV_0200_20150317_000202	数百年前、ルクリスの反乱によって作られた石化の霜の呪いで、この地はご覧のように何もない荒地と化してしまいました。
QUEST_LV_0200_20150317_000203	カリス騎士団から要請があったので特別に出入りを許可しますが、常に我々の視線が届く範囲内にいるようにしてください。
QUEST_LV_0200_20150317_000204	4年前の神樹の日以降、ベナス様がこの地域の王国軍のリーダーに任命されました。{nl}ベナス様は大地の要塞に通じる道の整備を命令なさったのです。
QUEST_LV_0200_20150317_000205	もし他に用がなければ、A地域のモンスターたちを退治してください。{nl}女神と王国への忠誠の証となるでしょう。{nl}もちろんそれに応じた報酬もご用意します。
QUEST_LV_0200_20150317_000206	600年前、奸悪な反乱軍の首長ルクリスとここの市民たちは、偉大なる宰相フリミア・エミナント様の善政に逆らうように{nl}悪行を犯しました。その結果がここに現れています。
QUEST_LV_0200_20150317_000207	悪くありませんね。警備兵として使えそうです。
QUEST_LV_0200_20150317_000208	4年前の神樹の日以降、石化の霜の発生周期が乱れ始めました。{nl}不規則な石化の霜により、我々は多くの兵力をこの荒地で失ったのです。{nl}その後は、限定的にこの慟哭の広場に石化探知機を設置し、その周期を記録して兵力を退避させています。
QUEST_LV_0200_20150317_000209	王国に従ってその志を受け継ぐおつもりなら、石化探知機を確認してください。
QUEST_LV_0200_20150317_000210	探知機を点検する兵士だけを狙うモンスターもいます。どうか油断はなさいませんよう。
QUEST_LV_0200_20150317_000211	2か所から石化の霜が吹きつける予定です。{nl}あなたはかなり名の知れた啓示者だと聞きましたが、{nl}間違いありませんね？
QUEST_LV_0200_20150317_000212	数ヶ月前から、探知機を確認する兵士を襲うモンスターが現れています。{nl}生還した兵士たちの話によると、敵は巨大な鳥だったとか。{nl}王室図鑑に載っているスパルナスホーンととても似ているように思います。
QUEST_LV_0200_20150317_000213	あなたが本当に啓示者なら、十分奴と戦えるはずです。{nl}しかしA地域で戦うのは禁止です。弱った兵力が巻き込まれる可能性があります。
