QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_000033	戦っている気配を感じて急いで駆け付けたのだが…確かに倒したのか？{nl}こちらはシャウレムばかりでな。{nl}とにかく、ご苦労だった。この手柄はすべて君の物だ。
QUEST_LV_0100_20150317_000034	副官フォリナ
QUEST_LV_0100_20150317_000035	奪われた物は取り戻さなければ。{nl}やられてばかりでは、王国の軍人を名乗れませんから。{nl}
QUEST_LV_0100_20150317_000036	奪われた補給品は各補給倉庫にいるシャウレム達が持っているそうです。{nl}その補給品を取り戻して、ボルダーに届けてください。
QUEST_LV_0100_20150317_000037	やられてばかりで悔しいんです。{nl}早く援助が来てくれれば…。王国の無能さには何も期待できませんから。
QUEST_LV_0100_20150317_000038	副官ボルダー
QUEST_LV_0100_20150317_000039	お忙しいのに本当にありがとうございます。{nl}やられてばかりではいられません。どんどん攻撃するつもりです。
QUEST_LV_0100_20150317_000040	秘密の守護者
QUEST_LV_0100_20150317_000041	女神はすでに予見なさったのだ。{nl}何者もその予知に背くことなどできない。
QUEST_LV_0100_20150317_000042	連絡官ニルス
QUEST_LV_0100_20150317_000043	こんにちは。{nl}もしや、道に迷ったお年寄りを見かけませんでしたか？{nl}名前はヨナス様というのですが…。{nl}
QUEST_LV_0100_20150317_000044	見かけませんでしたか…。{nl}最近物忘れも激しくなってるのに、どこへ行ったんだか…。
QUEST_LV_0100_20150317_000045	ヨナス様はこの王陵を代々守って来た一族の末裔なんです。{nl}私たち研究者にとっては重要な方なので、どうか探してください。
QUEST_LV_0100_20150317_000046	記録官ヨナス
QUEST_LV_0100_20150317_000047	我が一族は代々君を待ち続けてきた。{nl}ついに我らが守って来た物を差し出す時が来たんじゃな。
QUEST_LV_0100_20150317_000048	ヨナス様がご無事でなによりです。{nl}のろしを上げたのはあなたですね？{nl}
QUEST_LV_0100_20150317_000049	のろしを見て、アヒラス様がいらっしゃいました。{nl}下の方へ行けば会えますよ。
QUEST_LV_0100_20150317_000050	ケペック様に支援品を送ったのですが、大分前から連絡が途絶えてしまいました。{nl}捜索の人手が足りないので、手伝っていただけませんか？
QUEST_LV_0100_20150317_000051	史学者ビアード
QUEST_LV_0100_20150317_000052	どんな時でもモンスターの襲撃に備えておくべきだ。{nl}特にこういう野外ではな。
QUEST_LV_0100_20150317_000053	傭兵ミルタ
QUEST_LV_0100_20150317_000054	だから言っただろ？{nl}次からは気を付けるんだぞ。
QUEST_LV_0100_20150317_000055	史学者ケペック
QUEST_LV_0100_20150317_000056	どうせニルスに言われて来たんだろ？{nl}急いでるんなら自分で記録を付けてニルスに渡すんだな。
QUEST_LV_0100_20150317_000057	右の道を辿って橋を渡れば、ジャカリエル大王の遺跡がある。{nl}それを記録してニルスに渡せば、ニルスも納得するだろうよ。
QUEST_LV_0100_20150317_000058	これはケペック様の報告書…傭兵ミルタさんも見つけたんですね。{nl}二人の無事が確認できてよかった…。ありがとうございます。
QUEST_LV_0100_20150317_000059	アヒラス・ヨナス
QUEST_LV_0100_20150317_000060	では、その封印解除石を持って峡谷へお向かいください。{nl}グスタスの弟子がそこの封印を解く方法を順に教えてくれるはずです。
QUEST_LV_0100_20150317_000061	まだ会えていないのですか？{nl}折れた柱の峡谷にいるグスタスの弟子です。{nl}選ばれし者を中に入れるためだけに作られた物ですから。
QUEST_LV_0100_20150317_000062	グスタスの弟子
QUEST_LV_0100_20150317_000063	パガサの絶壁の封印を解きましたか？{nl}これからが始まりです。
QUEST_LV_0100_20150317_000064	岩に刻まれた言葉
QUEST_LV_0100_20150317_000065	触ったり押したりしないでください。
QUEST_LV_0100_20150317_000066	お待ちしておりました。{nl}次の封印は崩れた聖地へ行く途中にあります。
QUEST_LV_0100_20150317_000067	この瞬間をどんなに待ちわびたことか…。{nl}本当にお会いできて嬉しいです。
QUEST_LV_0100_20150317_000068	グスタス・ヨナス
QUEST_LV_0100_20150317_000069	君か。{nl}想像していたよりもずいぶんと華奢だが、ここまで来るとは頼もしいな。
QUEST_LV_0100_20150317_000070	兵士アラン
QUEST_LV_0100_20150317_000071	新兵か？新顔だな。{nl}俺、偵察を命令されてるんだけど、お前が代わりに行けよ。
QUEST_LV_0100_20150317_000072	新兵のくせにやるじゃないか。{nl}何かイヤなことを思い出しそうで、あそこには行きたくないんだよ。
QUEST_LV_0100_20150317_000073	何か思い出しそうな気がする…。
QUEST_LV_0100_20150317_000074	俺達はこの森に現れたガイガラスを倒すために派遣された部隊だってことは分かってるな？{nl}おい、新兵。この報告書を指揮官ウォリス様に届けてくれるか？
QUEST_LV_0100_20150317_000075	指揮官ウォリス
QUEST_LV_0100_20150317_000076	何故アランではなく君が偵察報告書を持って来たのだ？{nl}新兵か？
QUEST_LV_0100_20150317_000077	ガイガラスを倒さないと家に帰れないんだよな。{nl}ああ、さっさと家に帰りたい…。
QUEST_LV_0100_20150317_000078	ウォリス様なら鳥足の三叉路にいるぞ。
QUEST_LV_0100_20150317_000079	誰が何と言おうと、君は新兵だ。{nl}命令する。フライングケッピーの汁を持って来てくれ。
QUEST_LV_0100_20150317_000080	最近の奴らは度胸が無くてな。{nl}君のような新兵が起爆剤になってくれると良いのだが。
QUEST_LV_0100_20150317_000081	今回の戦闘は明らかにこちらの勝ちだ。{nl}何故かって？フクロウ達が力を貸してくれると言ったからな。
QUEST_LV_0100_20150317_000082	フライングケッピーはイアナティスの滝付近にいる。{nl}ガイガラスを攻略するにはどうしても必要な物なのだ。
QUEST_LV_0100_20150317_000083	兵士ワイズ
QUEST_LV_0100_20150317_000084	新兵のくせに、遊んでるのか？{nl}レングバス庭園のダッキーから油を手に入れて来い。
QUEST_LV_0100_20150317_000085	ダッキーの油でガイガラスをおびき寄せるんだ。{nl}新兵、遊んでる暇は無いぞ。
QUEST_LV_0100_20150317_000086	今日がガイガラスの最期の日になるだろう。{nl}新兵、準備はいいか？
QUEST_LV_0100_20150317_000087	次はレングバス庭園に棲むクロニュートの皮だ。{nl}さっさと動けよ、新兵。
QUEST_LV_0100_20150317_000088	今度こそ勝つぞ。{nl}女神は我らの味方に違いないからな。
QUEST_LV_0100_20150317_000089	新兵の割には頑張ったな。{nl}少し落ち着くまで、その材料は君が保管しておいてくれ。{nl}
QUEST_LV_0100_20150317_000090	戦闘準備が整うまでの間、君は他の兵士たちに挨拶でもしたらどうだ？{nl}ガイガラスとの戦いが始まる頃に呼ぶからそれまで時間を潰しているといい。
QUEST_LV_0100_20150317_000091	ダッキーの油を燃やせば、ガイガラスがその匂いを嗅ぎつけて這い出て来るはずだ。{nl}決行場所はレングバス庭園がいいだろう。
QUEST_LV_0100_20150317_000092	緊張で手が震えそうだ。{nl}魂が鼓動しているような気がする。
QUEST_LV_0100_20150317_000093	古いフクロウの彫像
QUEST_LV_0100_20150317_000094	誰もいないこの森に何かご用ですか？{nl}
QUEST_LV_0100_20150317_000095	ガイガラス？{nl}倒すのは簡単じゃありませんよ。
QUEST_LV_0100_20150317_000096	ここでたくさんの死を見つめてきました。{nl}これ以上の犠牲は見たくありません。
QUEST_LV_0100_20150317_000097	フライングケッピーの汁とクロニュートの皮が必要です。{nl}
QUEST_LV_0100_20150317_000098	あれ？どうしてそれをもう持っているんです？{nl}とにかく、それを私にください。記憶の破片を作りますから。
QUEST_LV_0100_20150317_000099	この記憶の破片で、眠った仲間たちの記憶が蘇るはずです。
QUEST_LV_0100_20150317_000100	記憶の破片が無いと倒せないんです。{nl}インフロホルダーの角を持って来てください。
QUEST_LV_0100_20150317_000101	もう一度尋ねますが、どうしてその材料を持ってるんです？
QUEST_LV_0100_20150317_000102	彼らはすでにこの世の人ではありません。{nl}ガイガラスへの怨みで、ずっと同じ場所で同じことを繰り返しているんです。{nl}
QUEST_LV_0100_20150317_000103	ガイガラスを倒せば、彼らも安らかに眠ることができるでしょう。{nl}心配するフクロウのところへ行ってください。
QUEST_LV_0100_20150317_000104	心配するフクロウの彫像
QUEST_LV_0100_20150317_000105	眠っている仲間たちを目覚めさせて、あの日の魔法を完成できるように手伝ってください。{nl}その記憶の破片で…。
QUEST_LV_0100_20150317_000106	仲間たちも喜ぶと思います。{nl}私は仲間たちを忘れず、ずっとここに立ち続けるでしょう。
QUEST_LV_0100_20150317_000107	イシムティニ進入路へ行けば、ガイガラスがいるはずです。{nl}兵士たちの仇を討ってください。
QUEST_LV_0100_20150317_000108	私はここにいたので眠らずに済みました。{nl}でもそのせいで全てを見ることになり、本当に辛かったです。
QUEST_LV_0100_20150317_000109	私の仲間たちは兵士たちを助けようとした瞬間にやられてしまいました。{nl}もしもあの時、仲間たちを守っていれば、ガイガラスの力を奪う魔法が完成したでしょう。
QUEST_LV_0100_20150317_000110	薬を奪い取ってゴクゴクと飲み干したヨナスの身体が、何か反応を起こしているようだ。
QUEST_LV_0100_20150317_000111	考古学者デジーク
QUEST_LV_0100_20150317_000112	アイリーネという助手がいなくなってしまったんだ。{nl}私が彼女を探しに行けるように、辺りのモンスターを倒してくれないか？
QUEST_LV_0100_20150317_000113	何を発見しても興奮するなと何度も言ったのに…{nl}またやらかしたか。
QUEST_LV_0100_20150317_000114	ありがとう。{nl}さて、アイリーネを探しに行かなければ。
QUEST_LV_0100_20150317_000115	技術者ハイネン
QUEST_LV_0100_20150317_000116	このケーブルカーは許可がないと利用できないんだ。{nl}申し訳ないが、ビエニサ高原の方へ行ってくれ。{nl}
QUEST_LV_0100_20150317_000117	でも、辺りのうっとおしいモンスターを倒してくれるなら、話は別だ。
QUEST_LV_0100_20150317_000118	危険なモンスターを倒しながら通るくらいなら、ケーブルカーを使った方がマシだろう。{nl}もちろん、ケーブルカーに乗れればの話だがな。
QUEST_LV_0100_20150317_000119	思ったよりやるじゃないか。{nl}ならば取引を提案させてもらおう。
QUEST_LV_0100_20150317_000120	ヌオトリの崖のおかしな結界を壊してくれるなら、ケーブルカーをずっと使えるようにするぞ。{nl}あの結界のせいでモンスターが増えているんだ。
QUEST_LV_0100_20150317_000121	結界を壊してくれたから、約束通りケーブルカーを好きなだけ使っていいぞ。{nl}私の隣にいるウィリアムや反対側にいるキャンバーグに私の名前を言えばいい。
QUEST_LV_0100_20150317_000122	あの結界は…そういえば、いつからあったんだ？{nl}いつできたのか、思い出せないな。{nl}
QUEST_LV_0100_20150317_000123	とにかく、あの結界のせいでモンスターが増えているのは確かなんだ。{nl}
QUEST_LV_0100_20150317_000124	ここを守る兵士が少なすぎてな。{nl}今時、こんな危険な場所に来たがる奴はいないんだろう。{nl}
QUEST_LV_0100_20150317_000125	ローランディス・ヨナス
QUEST_LV_0100_20150317_000126	ジャカリエル大王が何を守ろうとしたのかは、誰にも分からない。{nl}確かなのは、その秘密を暴きたいのは私たち人間だけではないということだ。
QUEST_LV_0100_20150317_000127	さあ、大王の鍵で石橋の見張り場にあるすべての封印を解いてくれ。{nl}その後に何をすべきかは、自然と分かるだろう。
QUEST_LV_0100_20150317_000128	アイリーネは見つけたんだが、助ける方法がわからない。{nl}ロドマ第2遺跡のおかしな結界に捕らわれているんだが、私の力ではとても…
QUEST_LV_0100_20150317_000129	助手アイリーネ
QUEST_LV_0100_20150317_000130	結界のせいで身動きとれないんです。{nl}早くロドマ遺跡にある3つの結界をどうにかしてください！
QUEST_LV_0100_20150317_000131	まだなんですか？まったくもう…
QUEST_LV_0100_20150317_000132	こんなことになるなんて思うわけなかったわ。{nl}はぁ…あんな男、追うんじゃなかった。
QUEST_LV_0100_20150317_000133	傭兵グレン
QUEST_LV_0100_20150317_000134	最近、研究員の失踪事件が頻繁に起きているんです。{nl}サウガを倒せば手がかりが見つかると思うんですけど、手伝ってもらえませんか？
QUEST_LV_0100_20150317_000135	サウガは戦利品を公平に分けあうんです。{nl}その中に、失踪の手がかりがあるんじゃないかな。
QUEST_LV_0100_20150317_000136	幸い、かなり古い物でしたね。{nl}つまり、モンスターのせいじゃないということ…。
QUEST_LV_0100_20150317_000137	とにかく危険な場所なので、事故が起きたりモンスターにさらわれることなんて{nl}日常茶飯事なんですよ。{nl}でも私が気にしてるのはそういうことじゃなくて…。{nl}
QUEST_LV_0100_20150317_000138	時々、失踪しても他の人たちに気付かれない場合があるんです。{nl}まるで、記憶から消されたように。{nl}変でしょう？{nl}
QUEST_LV_0100_20150317_000139	一応念のため、周辺のモンスターを倒してもらえませんか？{nl}ロドマ第1遺跡のモンスターが凶暴化したという報告もあるので…。
QUEST_LV_0100_20150317_000140	すごいですね。{nl}これでしばらくは安心できます。
QUEST_LV_0100_20150317_000141	モンスターが押し寄せて来る…。{nl}私が自由の身になったことに気付いたのかもしれません。
QUEST_LV_0100_20150317_000142	女神のお導きかしら？{nl}啓示者様が私を守ってくれるなんて、夢にも思わなかった。{nl}
QUEST_LV_0100_20150317_000143	あの巨大なサソリみたいな奴らはどこへ…？大変！
QUEST_LV_0100_20150317_000144	早くデジーク先生のところへ戻らなきゃ。{nl}また会えたら会いましょうね。
QUEST_LV_0100_20150317_000145	誰かが王陵を守るモンスターにちょっかいを出したに違いありません。{nl}一体何が狙いなんでしょうか？
QUEST_LV_0100_20150317_000146	先生、しっかりしてください！先生！
QUEST_LV_0100_20150317_000147	新米王陵研究員
QUEST_LV_0100_20150317_000148	貴重な研究資料が失くなったんです。{nl}きっとモンスターが持っていたんだろうな…。諦めた方がいいでしょうか？
QUEST_LV_0100_20150317_000149	王陵を自分の目で見られるのは嬉しいんですけど、モンスターは怖いんです。
QUEST_LV_0100_20150317_000150	ありがとうございます。{nl}棄てられた古い作業場周辺と念のため、記録保管所も確認してください。
QUEST_LV_0100_20150317_000151	この巨大な峡谷のどこかに、王陵への入る入口が隠されているそうです。{nl}ここはその峡谷の入り口なんですよ。{nl}
QUEST_LV_0100_20150317_000152	王陵を研究するためにたくさんの専門家たちがここに来ているはずです。{nl}ここで神樹の日の手がかりが見つかるかもしれないって…。
QUEST_LV_0100_20150317_000153	でも峡谷には植物さえ生えてないのに、どうしてモンスターがこんなにいるんでしょうか？
QUEST_LV_0100_20150317_000154	私が頼んだ物はどうなりましたか？まだですか？
QUEST_LV_0100_20150317_000155	地面をよく見てください。{nl}もしかしたら、落ちてるかもしれません。
QUEST_LV_0100_20150317_000156	うーん、これだけですか？{nl}でも探してくれてありがとうございます。{nl}足りない部分は書き直します。
QUEST_LV_0100_20150317_000157	おぬしもニルスに言われて来たのか？{nl}わしは行かんぞ。野生の花を研究しなきゃならん。{nl}
QUEST_LV_0100_20150317_000158	わしは幻を見てたようじゃな。{nl}王国の鉱物学者として、わしを守ってくれたお礼をしよう。{nl}
QUEST_LV_0100_20150317_000159	そうだ。{nl}ニルスにわしの記録をもらって来てくれんか？
QUEST_LV_0100_20150317_000160	ヨナス様が自分の記録が欲しいと言ったんですか？{nl}分かりました。そのかわり、薬も一緒に届けてください。{nl}
QUEST_LV_0100_20150317_000161	正気に戻す薬です。{nl}調査団のキャンプの右側にいるダヴィオさんに薬を頼んでおきました。
QUEST_LV_0100_20150317_000162	ヨナス様はジャカリエル大王の王陵を守る一族の当主なんです。{nl}しっかりした方なんですが、最近急に変なことをしたり言ったりするようになって…。{nl}
QUEST_LV_0100_20150317_000163	ヨナス様が侍従と一緒に視察に行ってからだと思います。{nl}ヨナス様は正気を失った状態で発見されて、侍従はそのまま失踪しました。
QUEST_LV_0100_20150317_000164	ヨナス様をお願いします。{nl}お怪我でもされたら大変ですから。
QUEST_LV_0100_20150317_000165	ダヴィオさんはキャンプの右側にいます。{nl}薬が効くといいんですが…。
QUEST_LV_0100_20150317_000166	おぉ…思い出したぞ。{nl}わしは王陵を守る一族の当主…おぬしは誰じゃ？{nl}
QUEST_LV_0100_20150317_000167	啓示者か。これも全て女神の意志なんじゃろう。{nl}おぬしにはすべきことがあるから、烽火台の峠までついて来てくれ。
QUEST_LV_0100_20150317_000168	知らぬ間にニルスにもおぬしにも迷惑をかけたようじゃな。
QUEST_LV_0100_20150317_000169	おぬしが周辺のモンスターを倒している隙を見てわしは一足先に烽火台へ向かわせてもらう。{nl}では、頼んだぞ。
QUEST_LV_0100_20150317_000170	そろそろ頃合いじゃな。{nl}烽火台の峠へ先に行っておる。後から来るんじゃぞ。
QUEST_LV_0100_20150317_000171	わしはおぬしに資格があると信じておる。{nl}全てはライマのお導きじゃ。
QUEST_LV_0100_20150317_000172	ついにこの秘宝を渡すべき相手が見つかった。{nl}わしが正気を失っていたせいで、すぐに気付けなかったのが残念でならん。
QUEST_LV_0100_20150317_000173	ジャカリエル大王はその資格を持つ者に秘宝を渡せとおっしゃった。{nl}おぬしにその資格があるのか、大王の目で確認するんじゃ。
QUEST_LV_0100_20150317_000174	我が一族には王陵を守る以外に、もう一つ使命がある。{nl}資格を持つ者が現れるまで、大王の秘宝を守ること。
QUEST_LV_0100_20150317_000175	その秘宝が何なのかはわしらも知らん。{nl}大王が守れとおっしゃったからその命令を守ってるんじゃよ。
QUEST_LV_0100_20150317_000176	薬売り
QUEST_LV_0100_20150317_000177	キャニオンメトスというこの峡谷にしか生えない薬草がありますので、{nl}それを持って来てください。
QUEST_LV_0100_20150317_000178	キャニオンメトスは気付け薬としてはかなり効果があるんですよ。{nl}とくに記憶力の鈍った老人にはよく効くと評判なんです。
QUEST_LV_0100_20150317_000179	それです。どうやらなかなか見る目があるようですね。{nl}
QUEST_LV_0100_20150317_000180	さあ、できましたよ。{nl}これをダヴィオに渡してください。
QUEST_LV_0100_20150317_000181	商人ダヴィオ
QUEST_LV_0100_20150317_000182	あの爺さんの薬は持って来たぞ。{nl}でも手に入れるのにもの凄く苦労したんだ。追加代金を払ってもらわないと割に合わん。{nl}
QUEST_LV_0100_20150317_000183	この辺りのライカンクロップスたちが持っている金製品でいいぞ。{nl}それをカーパス街道にいる薬売りに残金として払ってくれ。
QUEST_LV_0100_20150317_000184	これなら十分です。ダヴィオに頼まれたんですね？{nl}でも薬の効果を高めるには、もう一つ薬剤が必要なんです。
QUEST_LV_0100_20150317_000185	薬を作るには原因を知らなきゃならないんだが、その原因を調べるのが大変でな。{nl}なんと、はるか昔に使われた魔法と同じだったんだ。{nl}
QUEST_LV_0100_20150317_000186	噂で聞いた話だが、ジャカリエル大王は王陵が完成した後に、{nl}関わった者全員の記憶を消したらしい。{nl}それがヨナス爺さんにもかかってたんだ。老化の影響もあるだろうけどな。
QUEST_LV_0100_20150317_000187	あの爺さんの薬を手に入れるのがどんなに大変だったか分かるか？{nl}まぁ、このダヴィオ様に手に入れられない物は無いがな。
QUEST_LV_0100_20150317_000188	それを蜂蜜酒に溶かせば完成だ。さあ、持って行け。
QUEST_LV_0100_20150317_000189	その薬は効き目が強いから、どうにかして口に入れさえすればいい。
QUEST_LV_0100_20150317_000190	遅かったのう。{nl}わしの記録は持って来たか？
QUEST_LV_0100_20150317_000191	そうそう、捨てられた古い作業場に行ってみるといい。{nl}変な年寄りが一人でうろうろしてるって話だから、きっとヨナス爺さんじゃないか？
QUEST_LV_0100_20150317_000192	それは何じゃ？蜂蜜酒の匂いがするぞ！
QUEST_LV_0100_20150317_000193	ううっ…頭が…。{nl}わしはここで何をしてるんじゃ？
QUEST_LV_0100_20150317_000194	モンスターに追われて支援品も何もかも全て投げ出して逃げて来たんです…{nl}とりあえず、あちこちに散らばった物を探してもらえませんか？
QUEST_LV_0100_20150317_000195	傭兵なのに面目ありません。{nl}神樹の日でも無事だったのに…。ここには何か特別な呪いがかけられているに違いありません。{nl}
QUEST_LV_0100_20150317_000196	ずいぶん時間がかかったな。{nl}それにミルタはどこへ？あんたは何者だ？
QUEST_LV_0100_20150317_000197	何か思い出せそうな気もするんですけど…。{nl}考えれば考えるほど、記憶が薄くなる感じで…。
QUEST_LV_0100_20150317_000198	バイドータス
QUEST_LV_0100_20150317_000199	この匂いは…鉱山内の浄化装置が故障したようですね。{nl}連れて行かれた人たちが窒息してしまわないように、早く修理をしなければ。
QUEST_LV_0100_20150317_000200	カニンガムの伝説をご存知ですか？{nl}その昔、この水晶鉱山にもの凄い魔族を封印したという伝説です。{nl}詳しい内容は鉱山2階の鉱員休憩室にある本を読めば分かりますよ。{nl}
QUEST_LV_0100_20150317_000201	とにかく、その魔族がまた目覚めてゴブリン達を操ってるんじゃないかというのが私の推測です。{nl}司教様が見た夢とカニンガムの伝説…巨大な事件を予言しているような気もします。{nl}
QUEST_LV_0100_20150317_000202	それが希望なのか絶望なのかは女神のみぞ知ることですが。{nl}
QUEST_LV_0100_20150317_000203	浄化装置は誰にでも簡単に修理できますが、部品を探すのは大変かもしれません。{nl}もし良かったら、この羅針盤を使ってください。{nl}
QUEST_LV_0100_20150317_000204	では、私は他に用事があるので3階でまたお会いしましょう。{nl}女神のご加護がありますように。
QUEST_LV_0100_20150317_000205	浄化装置の修理が難しいようならば、先ほどの羅針盤を使ってください。{nl}すぐに方法が見つかるはずです。
QUEST_LV_0100_20150317_000206	村のおばさん
QUEST_LV_0100_20150317_000207	あたしたちを助けに来たんでしょ？そうでしょ？
QUEST_LV_0100_20150317_000208	ああ、これで助かったよ！
QUEST_LV_0100_20150317_000209	村の少女
QUEST_LV_0100_20150317_000210	どうか、助けてください…。
QUEST_LV_0100_20150317_000211	お願いです、ここから出してください…。
QUEST_LV_0100_20150317_000212	フアンおじさん
QUEST_LV_0100_20150317_000213	俺の故郷を焼け野原にしたゴブリン達は絶対に許せない。{nl}だから、君のようにゴブリンを倒しに行く人には力を貸したいんだ。
QUEST_LV_0100_20150317_000214	故郷じゃなかったら、とっくにここを離れてただろうな。{nl}こんなに多くのゴブリンが、一体どこから出て来たんだか…。
QUEST_LV_0100_20150317_000215	若い薬師
QUEST_LV_0100_20150317_000216	先ほどは本当にありがとうございました。{nl}あなたがいなければ、あんなにたくさんの薬剤を調達できませんでした…。
QUEST_LV_0100_20150317_000217	もしかしたら、女神がつかわしたのはあなたなんじゃないかと思うんです。{nl}あなたは私が見た啓示者の中で一番優しい方ですから。
QUEST_LV_0100_20150317_000218	兵士ジェイス
QUEST_LV_0100_20150317_000219	死んだ戦友たちの分まで、この村を守るつもりです。
QUEST_LV_0100_20150317_000220	この世が三度ひっくり返ったとしても、ゴブリンだけは絶対に許せません。
QUEST_LV_0100_20150317_000221	兵士エドガー
QUEST_LV_0100_20150317_000222	東の森で苦労してかき集めた大事な食糧です。{nl}もう二度と奪われたりはしません。絶対に。
QUEST_LV_0100_20150317_000223	これもあなたのおかげで取り戻すことができました。{nl}お腹が膨れるほどではありませんが…それでも嬉しいです。
QUEST_LV_0100_20150317_000224	騎士団長ウスカ
QUEST_LV_0100_20150317_000225	その救済の証というのがこの石板ですか？{nl}私の目には単なる古い石板にしか見えませんが…
QUEST_LV_0100_20150317_000226	ノウル高原へ行く道は村長に聞くといいでしょう。{nl}私はパラディンマスターに連絡しておきますから。{nl}女神のご加護があらんことを。
QUEST_LV_0100_20150317_000227	この石板の正体を知るには、ボコルマスターに分析してもらうと良いでしょう。{nl}クラペダ住居地区のはずれに彼女の家があるので、訪ねてみてください。
QUEST_LV_0100_20150317_000228	与えられた時間を効率的に使うんだよ。{nl}自分の未来を知る者などいないのだから。
QUEST_LV_0100_20150317_000229	戻りましたか。{nl}ボコルマスターは何と？
QUEST_LV_0100_20150317_000230	この封印を解いたという少女も気になりますね。{nl}そう簡単に解ける封印ではないのですが。
QUEST_LV_0100_20150317_000231	とにかく、ボコルマスターが私なら分かるはずだとおっしゃったならば…{nl}一つだけ心当たりがあります。{nl}
